Stadium,Year Opened,City,Team
State Farm Stadium,2006,Glendale,Arizona Cardinals
Mercedes-Benz Stadium,2017,Atlanta,Atlanta Falcons
M&T Bank Stadium,1998,Baltimore,Baltimore Ravens
Highmark Stadium,1973,Orchard Park,Buffalo Bills
Bank of America Stadium,1996,Charlotte,Carolina Panthers
Soldier Field,1924,Chicago,Chicago Bears
Paycor Stadium,2000,Cincinnati,Cincinnati Bengals
Huntington Bank Field,1999,Cleveland,Cleveland Browns
AT&T Stadium,2009,Arlington,Dallas Cowboys
Empower Field at Mile High,2001,Denver,Denver Broncos
Ford Field,2002,Detroit,Detroit Lions
Lambeau Field,1957,Green Bay,Green Bay Packers
NRG Stadium,2002,Houston,Houston Texans
Lucas Oil Stadium,2008,Indianapolis,Indianapolis Colts
EverBank Stadium,1995,Jacksonville,Jacksonville Jaguars
GEHA Field at Arrowhead Stadium,1972,Kansas City,Kansas City Chiefs
Allegiant Stadium,2020,Paradise (Las Vegas),Las Vegas Raiders
SoFi Stadium,2020,Inglewood,Los Angeles Rams
SoFi Stadium,2020,Inglewood,Los Angeles Chargers
Hard Rock Stadium,1987,Miami Gardens,Miami Dolphins
U.S. Bank Stadium,2016,Minneapolis,Minnesota Vikings
Gillette Stadium,2002,Foxborough,New England Patriots
Caesars Superdome,1975,New Orleans,New Orleans Saints
MetLife Stadium,2010,East Rutherford,New York Giants
MetLife Stadium,2010,East Rutherford,New York Jets
Lincoln Financial Field,2003,Philadelphia,Philadelphia Eagles
Acrisure Stadium,2001,Pittsburgh,Pittsburgh Steelers
Levi's Stadium,2014,Santa Clara,San Francisco 49ers
Lumen Field,2002,Seattle,Seattle Seahawks
Raymond James Stadium,1998,Tampa,Tampa Bay Buccaneers
Northwest Stadium (FedExField),1997,Landover,Washington Commanders
Nissan Stadium,1999,Nashville,Tennessee Titans
