GMID,GM Name,TeamID,Team,Salary,Year Hired
1,Monti Ossenfort,1,Arizona Cardinals,5970720,2023
2,Terry Fontenot,2,Atlanta Falcons,5273603,2021
3,Eric DeCosta,3,Baltimore Ravens,5727805,2019
4,Brandon Beane,4,Buffalo Bills,3268948,2017
5,Dan Morgan,5,Carolina Panthers,6726314,2024
6,Ryan Poles,6,Chicago Bears,4565032,2022
7,Duke Tobin,7,Cincinnati Bengals,6780795,1999
8,Andrew Berry,8,Cleveland Browns,6394147,2020
9,Jerry Jones,9,Dallas Cowboys,6751943,1989
10,George Paton,10,Denver Broncos,6741954,2021
11,Brad Holmes,11,Detroit Lions,4738768,2021
12,Brian Gutekunst,12,Green Bay Packers,3336823,2018
13,Nick Caserio,13,Houston Texans,3825648,2021
14,Chris Ballard,14,Indianapolis Colts,6021390,2017
15,Trent Baalke,15,Jacksonville Jaguars,6048922,2021
16,Brett Veach,16,Kansas City Chiefs,3540882,2017
17,Tom Telesco,17,Las Vegas Raiders,5173666,2024
18,Joe Hortiz,18,Los Angeles Chargers,6215792,2024
19,Les Snead,19,Los Angeles Rams,6846828,2012
20,Chris Grier,20,Miami Dolphins,6264338,2016
21,Kwesi Adofo-Mensah,21,Minnesota Vikings,3490832,2022
22,Eliot Wolf,22,New England Patriots,3512682,2024
23,Mickey Loomis,23,New Orleans Saints,6148075,2002
24,Joe Schoen,24,New York Giants,3507131,2022
25,Joe Douglas,25,New York Jets,5415444,2019
26,Howie Roseman,26,Philadelphia Eagles,5592469,2010
27,Omar Khan,27,Pittsburgh Steelers,6934785,2023
28,John Lynch,28,San Francisco 49ers,4999502,2017
29,John Schneider,29,Seattle Seahawks,4515187,2010
30,Jason Licht,30,Tampa Bay Buccaneers,5201991,2014
31,Ran Carthon,31,Tennessee Titans,4798456,2023
32,Adam Peters,32,Washington Commanders,6416911,2024
