OwnerID,TeamID,Owner Name,Team,Net Worth,Year Bought
1,1,Michael Bidwill,Arizona Cardinals,11559016259,2019
2,2,Arthur Blank,Atlanta Falcons,42005906758,2002
3,3,Steve Bisciotti,Baltimore Ravens,25720825267,2004
4,4,Terry Pegula,Buffalo Bills,64690754209,2014
5,5,David Tepper,Carolina Panthers,22892204841,2018
6,6,Virginia Halas McCaskey,Chicago Bears,6240085114,1983
7,7,Mike Brown,Cincinnati Bengals,59205284752,1991
8,8,Jimmy Haslam,Cleveland Browns,30853253785,2012
9,9,Jerry Jones,Dallas Cowboys,61251070756,1989
10,10,Rob Walton,Denver Broncos,45544180739,2022
11,11,Sheila Ford Hamp,Detroit Lions,66502597745,2020
12,12,Green Bay Packers (Public),Green Bay Packers,34904205676,1923
13,13,Cal McNair,Houston Texans,37625941028,2018
14,14,Jim Irsay,Indianapolis Colts,50814580374,1997
15,15,Shahid Khan,Jacksonville Jaguars,23716628998,2012
16,16,Clark Hunt,Kansas City Chiefs,48500126887,2006
17,17,Mark Davis,Las Vegas Raiders,28369948189,2011
18,18,Dean Spanos,Los Angeles Chargers,7396736824,2018
19,19,Stan Kroenke,Los Angeles Rams,33147651543,2010
20,20,Stephen Ross,Miami Dolphins,46579230595,2009
21,21,Zygi Wilf,Minnesota Vikings,15076802622,2005
22,22,Robert Kraft,New England Patriots,39675028895,1994
23,23,Gayle Benson,New Orleans Saints,69094558420,2018
24,24,John Mara & Steve Tisch,New York Giants,24642422205,2005
25,25,Woody Johnson,New York Jets,10347058310,2000
26,26,Jeffrey Lurie,Philadelphia Eagles,47378094157,1994
27,27,Art Rooney II,Pittsburgh Steelers,34259529421,2003
28,28,Jed York,San Francisco 49ers,9488658686,2008
29,29,Jody Allen,Seattle Seahawks,39308127409,2018
30,30,Glazer Family,Tampa Bay Buccaneers,19428939362,1995
31,31,Amy Adams Strunk,Tennessee Titans,46909300567,2015
32,32,Josh Harris,Washington Commanders,18131608596,2023
