Player ID,Player Name,Position,Team,Team ID,Salary,Year Joined Team
1,Michael Wilson,K,Arizona Cardinals,1,44698714,2019
2,Andrew Anderson,WR,Arizona Cardinals,1,26769293,2015
3,Paul Smith,RB,Arizona Cardinals,1,42526906,2023
4,Robert Taylor,P,Arizona Cardinals,1,41118528,2020
5,Andrew Smith,LB,Arizona Cardinals,1,20735892,2024
6,Mark Williams,RB,Arizona Cardinals,1,28734380,2015
7,Daniel Anderson,CB,Arizona Cardinals,1,10513311,2015
8,Mark Wilson,DL,Arizona Cardinals,1,6967330,2016
9,Michael Taylor,S,Arizona Cardinals,1,32374841,2024
10,William Moore,CB,Arizona Cardinals,1,32495023,2015
11,James Davis,QB,Arizona Cardinals,1,24698152,2025
12,Brian Martin,CB,Arizona Cardinals,1,39859326,2022
13,Daniel Gonzalez,TE,Arizona Cardinals,1,32977606,2019
14,David Gonzalez,TE,Arizona Cardinals,1,10710043,2021
15,Daniel Brown,QB,Arizona Cardinals,1,7423674,2019
16,Daniel Thomas,OL,Arizona Cardinals,1,16764811,2025
17,Kevin Brown,S,Arizona Cardinals,1,19380144,2024
18,Daniel Martin,S,Arizona Cardinals,1,20938293,2021
19,Andrew Thomas,K,Arizona Cardinals,1,30786742,2024
20,Michael Davis,OL,Arizona Cardinals,1,3646999,2021
21,Robert Martin,OL,Arizona Cardinals,1,20820417,2025
22,Brian Thomas,LB,Arizona Cardinals,1,34824644,2015
23,Anthony Hernandez,OL,Arizona Cardinals,1,16978854,2019
24,Brian Lopez,WR,Arizona Cardinals,1,11173787,2015
25,Brian Miller,LB,Arizona Cardinals,1,27684232,2015
26,Paul Martinez,TE,Arizona Cardinals,1,29587690,2025
27,Eric Garcia,CB,Arizona Cardinals,1,44155420,2015
28,Michael Davis,RB,Arizona Cardinals,1,36195085,2015
29,Kevin Smith,OL,Arizona Cardinals,1,22586938,2024
30,Anthony Miller,QB,Arizona Cardinals,1,30318827,2017
31,Jason Anderson,DL,Arizona Cardinals,1,23507205,2016
32,David Wilson,CB,Arizona Cardinals,1,42905967,2019
33,James Hernandez,P,Arizona Cardinals,1,40739930,2016
34,Andrew Williams,LB,Arizona Cardinals,1,4694541,2021
35,Daniel Rodriguez,RB,Arizona Cardinals,1,11225892,2021
36,Brandon Martinez,QB,Arizona Cardinals,1,35646614,2020
37,Anthony Williams,QB,Arizona Cardinals,1,17126120,2022
38,Mark Anderson,TE,Arizona Cardinals,1,33413771,2017
39,Kevin Rodriguez,TE,Arizona Cardinals,1,32009420,2021
40,Michael Williams,CB,Arizona Cardinals,1,23951539,2018
41,David Wilson,QB,Arizona Cardinals,1,3647867,2017
42,James Taylor,RB,Arizona Cardinals,1,39402658,2017
43,Eric Jackson,OL,Arizona Cardinals,1,36720247,2016
44,David Thomas,K,Arizona Cardinals,1,35424063,2023
45,Michael Jackson,WR,Arizona Cardinals,1,38974121,2016
46,Jason Lopez,DL,Arizona Cardinals,1,4090236,2025
47,Justin Smith,LB,Arizona Cardinals,1,42911779,2015
48,Kevin Martinez,OL,Arizona Cardinals,1,10394053,2016
49,Daniel Lopez,K,Arizona Cardinals,1,35782281,2022
50,David Brown,TE,Arizona Cardinals,1,43027288,2018
51,Mark Lopez,QB,Arizona Cardinals,1,3791693,2016
52,Mark Anderson,RB,Arizona Cardinals,1,6674226,2022
53,David Hernandez,OL,Arizona Cardinals,1,6795970,2015
54,Daniel Moore,QB,Atlanta Falcons,2,11013992,2019
55,Kevin Moore,S,Atlanta Falcons,2,36226446,2024
56,Justin Wilson,RB,Atlanta Falcons,2,36636465,2016
57,Robert Lopez,QB,Atlanta Falcons,2,24384026,2018
