DefensiveID,Player ID,Player Name,Tackles,Sacks,Ints,TDs,TFLs,GamesPlayed
1,1,Michael Wilson,0,0,0,0,0,20
2,2,Andrew Anderson,0,0,0,0,0,7
3,3,Paul Smith,0,0,0,0,0,140
4,4,Robert Taylor,0,0,0,0,0,206
5,5,Andrew Smith,706,17,16,1,72,89
6,6,Mark Williams,0,0,0,0,0,40
7,7,Daniel Anderson,205,0,7,0,18,39
8,8,Mark Wilson,858,83,2,1,96,162
9,9,Michael Taylor,936,15,41,14,79,180
10,10,William Moore,159,2,31,1,75,114
11,11,James Davis,0,0,0,0,0,187
12,12,Brian Martin,42,1,6,0,7,21
13,13,Daniel Gonzalez,0,0,0,0,0,176
14,14,David Gonzalez,0,0,0,0,0,56
15,15,Daniel Brown,0,0,0,0,0,48
16,16,Daniel Thomas,0,0,0,0,0,111
17,17,Kevin Brown,108,8,10,0,9,41
18,18,Daniel Martin,798,23,20,12,31,146
19,19,Andrew Thomas,0,0,0,0,0,299
20,20,Michael Davis,0,0,0,0,0,104
21,21,Robert Martin,0,0,0,0,0,60
22,22,Brian Thomas,552,16,15,0,42,160
23,23,Anthony Hernandez,0,0,0,0,0,99
24,24,Brian Lopez,0,0,0,0,0,205
25,25,Brian Miller,975,26,13,11,164,207
26,26,Paul Martinez,0,0,0,0,0,145
27,27,Eric Garcia,310,9,36,4,52,130
28,28,Michael Davis,0,0,0,0,0,21
29,29,Kevin Smith,0,0,0,0,0,18
30,30,Anthony Miller,0,0,0,0,0,180
31,31,Jason Anderson,197,46,2,1,50,98
32,32,David Wilson,331,1,13,2,12,55
33,33,James Hernandez,0,0,0,0,0,64
34,34,Andrew Williams,255,6,14,0,43,74
35,35,Daniel Rodriguez,0,0,0,0,0,97
36,36,Brandon Martinez,0,0,0,0,0,36
37,37,Anthony Williams,0,0,0,0,0,181
38,38,Mark Anderson,0,0,0,0,0,108
39,39,Kevin Rodriguez,0,0,0,0,0,220
40,40,Michael Williams,397,5,25,0,12,73
41,41,David Wilson,0,0,0,0,0,79
42,42,James Taylor,0,0,0,0,0,191
43,43,Eric Jackson,0,0,0,0,0,140
44,44,David Thomas,0,0,0,0,0,289
45,45,Michael Jackson,0,0,0,0,0,201
46,46,Jason Lopez,45,38,2,0,17,44
47,47,Justin Smith,807,20,8,2,102,107
48,48,Kevin Martinez,0,0,0,0,0,83
49,49,Daniel Lopez,0,0,0,0,0,131
50,50,David Brown,0,0,0,0,0,143
51,51,Mark Lopez,0,0,0,0,0,78
52,52,Mark Anderson,0,0,0,0,0,61
53,53,David Hernandez,0,0,0,0,0,155
54,54,Daniel Moore,0,0,0,0,0,29
55,55,Kevin Moore,364,27,32,13,26,215
56,56,Justin Wilson,0,0,0,0,0,67
57,57,Robert Lopez,0,0,0,0,0,7
58,58,Justin Wilson,0,0,0,0,0,172
59,59,William Lopez,0,0,0,0,0,192
60,60,Michael Garcia,0,0,0,0,0,48
61,61,Daniel Martinez,730,107,0,0,135,165
62,62,Brian Williams,0,0,0,0,0,27
63,63,James Johnson,0,0,0,0,0,161
64,64,Michael Thomas,0,0,0,0,0,129
65,65,Michael Taylor,642,12,50,1,25,168
66,66,Joshua Brown,0,0,0,0,0,24
67,67,Justin Martinez,519,11,9,4,72,99
68,68,John Garcia,67,2,3,1,6,12
69,69,Kevin Lopez,0,0,0,0,0,217
70,70,William Rodriguez,0,0,0,0,0,29
71,71,Anthony Thomas,547,20,28,9,24,130
72,72,Kevin Miller,0,0,0,0,0,10
73,73,Anthony Jackson,292,49,2,3,48,140
74,74,Kevin Rodriguez,0,0,0,0,0,60
75,75,Justin Moore,527,81,2,2,167,116
76,76,John Garcia,378,3,36,2,58,120
77,77,William Rodriguez,794,16,21,0,38,111
78,78,David Hernandez,0,0,0,0,0,165
79,79,David Martin,0,0,0,0,0,112
80,80,Ryan Lopez,0,0,0,0,0,124
81,81,John Wilson,0,0,0,0,0,68
82,82,Paul Martinez,509,7,27,1,38,74
83,83,Michael Jackson,146,78,2,0,45,90
84,84,John Moore,0,0,0,0,0,92
85,85,Kevin Anderson,429,56,0,0,95,78
86,86,Jason Davis,0,0,0,0,0,215
87,87,James Miller,0,0,0,0,0,256
88,88,Andrew Brown,0,0,0,0,0,113
89,89,Paul Taylor,242,5,13,2,17,54
90,90,Mark Jones,596,66,0,2,216,125
91,91,Anthony Wilson,374,10,6,1,43,45
92,92,Joshua Wilson,0,0,0,0,0,122
93,93,William Hernandez,0,0,0,0,0,90
94,94,David Taylor,0,0,0,0,0,225
95,95,Robert Williams,0,0,0,0,0,59
96,96,Jason Smith,0,0,0,0,0,221
97,97,Robert Martinez,128,10,8,2,7,75
98,98,Anthony Taylor,0,0,0,0,0,123
99,99,Eric Gonzalez,473,6,63,1,120,194
100,100,John Garcia,0,0,0,0,0,31
101,101,Jason Wilson,525,14,61,3,91,157
102,102,Paul Miller,111,0,7,0,26,48
103,103,Eric Thomas,248,8,7,2,18,34
104,104,Andrew Wilson,0,0,0,0,0,79
105,105,Brandon Martin,0,0,0,0,0,116
106,106,Andrew Martinez,0,0,0,0,0,104
107,107,Jason Lopez,0,0,0,0,0,136
108,108,Paul Rodriguez,0,0,0,0,0,67
109,109,Robert Taylor,1043,16,37,6,59,221
110,110,David Rodriguez,0,0,0,0,0,220
111,111,William Jackson,0,0,0,0,0,165
112,112,Chris Williams,0,0,0,0,0,277
113,113,Jason Wilson,932,29,42,9,42,172
