TeamID,TeamName,City,StadiumID,CoachID,GMID
1,Arizona Cardinals,Glendale,1,,
2,Atlanta Falcons,Atlanta,2,,
3,Baltimore Ravens,Baltimore,3,,
4,Buffalo Bills,Orchard Park,4,,
5,Carolina Panthers,Charlotte,5,,
6,Chicago Bears,Chicago,6,,
7,Cincinnati Bengals,Cincinnati,7,,
8,Cleveland Browns,Cleveland,8,,
9,Dallas Cowboys,Arlington,9,,
10,Denver Broncos,Denver,10,,
11,Detroit Lions,Detroit,11,,
12,Green Bay Packers,Green Bay,12,,
13,Houston Texans,Houston,13,,
14,Indianapolis Colts,Indianapolis,14,,
15,Jacksonville Jaguars,Jacksonville,15,,
16,Kansas City Chiefs,Kansas City,16,,
17,Las Vegas Raiders,Paradise,17,,
18,Los Angeles Chargers,Inglewood,18,,
19,Los Angeles Rams,Inglewood,19,,
20,Miami Dolphins,Miami,20,,
21,Minnesota Vikings,Minneapolis,21,,
22,New England Patriots,Foxborough,22,,
23,New Orleans Saints,New Orleans,23,,
24,New York Giants,East Rutherford,24,,
25,New York Jets,East Rutherford,25,,
26,Philadelphia Eagles,Philadelphia,26,,
27,Pittsburgh Steelers,Pittsburgh,27,,
28,San Francisco 49ers,Santa Clara,28,,
29,Seattle Seahawks,Seattle,29,,
30,Tampa Bay Buccaneers,Tampa,30,,
31,Tennessee Titans,Nashville,31,,
32,Washington Commanders,Washington,32,,
